R,Corr_x_p,Corr_x,Corr_x_m,Corr_z_p,Corr_z,Corr_z_m
148.0,5.244473259308289e-5,0.00016084572601355788,0.00010584114446139085,1.5515586881033774e-23,7.056657357009739e-22,-1.7316762310374914e-22
149.0,3.5436694130448315e-5,0.00025887423179422707,9.099666799988611e-5,-2.0100173997273047e-9,-2.3276581280167276e-7,-3.874094493092707e-8
150.0,3.37004456421025e-5,0.00017492027352918074,0.0001464551972137526,1.3299074469064567e-23,3.799738576851446e-22,2.251179100344775e-22
151.0,3.596531510719861e-5,0.00016634991819699065,9.895918562015083e-5,-8.707466259525278e-9,-4.9224954892886174e-8,-7.42557710728826e-8
152.0,4.897354867192852e-5,0.0001775296175471651,9.411060308001798e-5,1.329907446968838e-23,3.256918780158411e-22,1.2121733617241678e-22
153.0,1.9657452940554825e-5,0.00024174000254803142,0.00010043539277334392,-8.34503573535949e-11,-2.1324424052976032e-7,-1.570349587683391e-8
154.0,1.5995620584861896e-5,9.703182335776615e-5,0.00013676169892322512,8.866049646245946e-24,3.2569187801579078e-22,1.0390057386207086e-22
155.0,2.215365451528735e-5,7.895652787681864e-5,5.48946672960817e-5,-2.934344991555746e-9,-2.043683839295801e-9,-6.80280979272444e-8
156.0,2.7521854305858416e-5,0.0001093534090177844,4.466877132330891e-5,-2.2165124116666982e-23,2.171279186771463e-22,1.0390057386199754e-22
157.0,9.445190593329117e-6,0.0001358515629445966,6.186546637993554e-5,-3.8593673704557226e-10,-7.186156690440028e-8,-6.519656709440769e-10
158.0,9.937711651284483e-6,4.6622727166324213e-5,7.685650018138704e-5,4.433024823333133e-23,-5.428197966930815e-22,6.926704924127325e-23
159.0,1.6018934484046344e-6,4.905387714491122e-5,2.6376285713964856e-5,-2.48308431316929e-12,-9.451519412297259e-9,-2.2924913228293657e-8
160.0,1.3193262264277905e-6,7.907160840908733e-6,2.7751681585166222e-5,8.866049646665957e-24,1.0856395933861627e-21,-1.7316762310345284e-22
161.0,1.2725178229859404e-6,6.512371147021874e-6,4.4733876845524264e-6,-2.726094066209808e-12,-6.081027623322655e-11,-3.0151758684958514e-9
162.0,1.2239588967778719e-6,6.2813185916291054e-6,3.6843010370551964e-6,1.9948611704999154e-23,2.1712791867723253e-22,3.463352462069051e-22
163.0,1.1826122437066704e-6,6.041625221154672e-6,3.55358564165928e-6,-8.738677028884057e-12,-6.676154020416497e-11,-1.939938643266517e-11
164.0,1.493747180867614e-6,5.837532597895088e-6,3.417981801909138e-6,6.871188476166452e-23,4.885378170237732e-22,6.926704924138098e-23
165.0,2.0439740765373092e-7,7.373336364249078e-6,3.3025186861629657e-6,-4.574812186348916e-14,-2.14008586507143e-10,-2.1297928532560213e-11
166.0,1.5582570497800282e-7,1.0089330094910254e-6,4.1713824657832105e-6,1.7732099293332784e-23,1.6827413697485457e-21,1.558508607931073e-22
